Województwo,Miasto,Średni koszt życia / utrzymania,Średni czas szukania pracy (dn)
Mazowieckie,Warszawa,"7136,26 PLN",
Warmińsko-Mazurskie,Olsztyn,"5107,43 PLN",
Małopolskie,Kraków,"5894,44 PLN",
Dolnośląskie,Wrocław,"5900,84 PLN",
Kujawsko-Pomorskie,Toruń,"3538,62 PLN",
Lubelskie,Lublin,"4981,42 PLN",
Lubuskie,Zielona Góra,"4266,55 PLN",
Łódzkie,Łódź,"4887,40 PLN",
Opolskie,Opole,"4751,35 PLN",
Podkarpackie,Rzeszów,"4665,77 PLN",
Podlaskie,Białystok,"4314,94 PLN",
Pomorskie,Gdańsk,"5937,71 PLN",
Śląskie,Katowice,"4771,90 PLN",
Świętokrzyskie,Kielce,"4223,48 PLN",
Wielkopolskie,Gniezno,"4696,92 PLN",
Zachodniopomorskie,Koszalin,"4512,39 PLN",
